Timestamp,Orientation (x),Orientation (y),Orientation (z),Orientation (w),Angular Velocity (x),Angular Velocity (y),Angular Velocity (z),Linear Acceleration (x),Linear Acceleration (y),Linear Acceleration (z)
1705722473.6562195,0.16719696412447618,0.19743858621525276,-0.6960669099059975,0.6697417687398605,0.04340164735913277,0.006877318024635299,-0.12448426336050034,-3.9814999,1.1060917612762579e-15,9.03192465
1705722473.9062648,0.17043447880794133,0.194486181806253,-0.698368095470175,0.6673898536457165,0.03575955703854561,0.0003149965777993287,0.06916625052690506,-4.12859965,-0.1470997499999989,8.9436648
1705722474.1562839,0.17576864289015554,0.18880764105885672,-0.6866525178905711,0.6796803502595038,0.013723596930503845,-0.006891098804771876,0.19983136653900146,-4.2560861,-0.19613299999999892,8.87501825
1705722474.4063208,-0.17931922749936174,-0.1817650261390361,0.6676778158059121,-0.6992942329251355,-0.01176399365067482,-0.028626911342143985,0.23227670788764954,-4.3933792,-0.13729309999999892,8.79656505
1705722474.6563447,-0.17875401423886728,-0.17587370618098025,0.6496978145568871,-0.7176407120751037,-0.02985122986137867,-0.033219024538993815,0.17119111120700836,-4.511059,-0.00980664999999893,8.73772515
1705722474.906376,-0.17749632331759607,-0.17506587383991087,0.6391758127317723,-0.7275309446642679,-0.02821120247244835,0.01121967192739249,0.05752462148666382,-4.57970555,0.11767980000000107,8.6886919
1705722475.1564028,-0.17637013557840198,-0.17895025312991905,0.6387905503290112,-0.7271980576095848,-0.02298281528055668,0.013443235307931893,-0.056398436427116394,-4.59931885,0.20593965000000106,8.6494653
1705722475.4054368,-0.17430313937674768,-0.18348827173563712,0.6472507826469537,-0.7190388682830609,-0.005216046702116728,0.01519127190113066,-0.12863755226135254,-4.6091255,0.22555295000000106,8.6494653
1705722475.6564634,-0.17136635550910526,-0.1864836041155182,0.659742619392891,-0.7075288783874624,0.009869925677776337,0.005806916393339617,-0.13943639397621155,-4.6483521,0.16671305000000106,8.63965865
1705722475.9065065,-0.17045569621649245,-0.1882286361325339,0.6704357512403987,-0.697159049016621,0.018260985612869263,0.001381468842737365,-0.0959528386592865,-4.6875787,0.07845320000000107,8.62004535
1705722476.1565251,-0.1709754572225723,-0.18807554680562405,0.6758139555085787,-0.6918601587467995,0.02403375878930092,0.007949389517307278,-0.024617619812488556,-4.707192,1.0544501263849668e-15,8.6102387
1705722476.40656,-0.1733497593248521,-0.18652997590156808,0.6749331865782906,-0.6925471988878812,0.015128242783248425,0.0006342262495309168,0.04317788779735565,-4.7268053,-0.039226599999998946,8.60043205
1705722476.6565952,-0.17549795532025816,-0.18418445844757023,0.6692523806382638,-0.6981244902986862,0.005106138996779919,-0.0025319389533251424,0.08182669430971146,-4.7464186,-0.039226599999998946,8.60043205
1705722476.9066253,-0.17732882698674465,-0.18277635688857993,0.6616041064489571,-0.7052852591766828,-0.007591230794787407,0.0011279440950602393,0.08224332332611084,-4.7660319,-0.009806649999998949,8.58081875
1705722477.1566505,-0.1781883807417301,-0.1823569522324977,0.6552721085476146,-0.7110649103286406,-0.015491912141442299,0.0017025360139086905,0.05181937292218208,-4.7758385500000005,0.02941995000000105,8.5710121
